item,subj,onset,Exp,structure,position,ExpID
24,6,1236,3a,simple,above,1
24,7,NA,3a,simple,above,1
24,2,1065,3a,simple,above,1
29,10,941,3a,simple,above,1
29,9,1228,3a,simple,above,1
29,11,NA,3a,simple,above,1
29,6,808,3a,simple,above,1
29,7,1098,3a,simple,above,1
29,2,1234,3a,simple,above,1
33,10,912,3a,simple,above,1
33,9,1064,3a,simple,above,1
33,11,1137,3a,simple,above,1
33,6,1428,3a,simple,above,1
33,7,1205,3a,simple,above,1
33,2,1213,3a,simple,above,1
42,10,1037,3a,simple,above,1
42,9,1332,3a,simple,above,1
42,11,NA,3a,simple,above,1
42,6,911,3a,simple,above,1
42,7,800,3a,simple,above,1
42,2,NA,3a,simple,above,1
15,10,864,3a,complex,above,1
15,9,NA,3a,complex,above,1
15,11,1492,3a,complex,above,1
15,6,959,3a,complex,above,1
15,7,921,3a,complex,above,1
15,2,921,3a,complex,above,1
30,10,NA,3a,complex,above,1
30,9,1255,3a,complex,above,1
30,11,NA,3a,complex,above,1
30,6,NA,3a,complex,above,1
30,7,673,3a,complex,above,1
30,2,1094,3a,complex,above,1
40,10,806,3a,complex,above,1
40,9,1296,3a,complex,above,1
40,11,NA,3a,complex,above,1
40,6,1365,3a,complex,above,1
40,7,1107,3a,complex,above,1
40,2,1026,3a,complex,above,1
14,10,315,3a,complex,above,1
14,9,1563,3a,complex,above,1
14,11,NA,3a,complex,above,1
14,6,960,3a,complex,above,1
14,7,1112,3a,complex,above,1
14,2,1177,3a,complex,above,1
27,10,2058,3a,complex,above,1
27,9,1043,3a,complex,above,1
27,11,1131,3a,complex,above,1
27,6,NA,3a,complex,above,1
27,7,882,3a,complex,above,1
27,2,1094,3a,complex,above,1
28,10,956,3a,complex,above,1
28,9,1412,3a,complex,above,1
28,11,1659,3a,complex,above,1
28,6,1061,3a,complex,above,1
28,7,939,3a,complex,above,1
28,2,1282,3a,complex,above,1
4,10,833,3a,complex,above,1
4,9,1246,3a,complex,above,1
4,11,1196,3a,complex,above,1
4,6,880,3a,complex,above,1
4,7,985,3a,complex,above,1
4,2,909,3a,complex,above,1
8,10,884,3a,complex,above,1
8,9,1032,3a,complex,above,1
8,11,1192,3a,complex,above,1
8,6,864,3a,complex,above,1
